lag,epochs,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,total_f1
3,10000,5,128,1,0.85,,0,0,0,0.057142857,0.444634576,0.535541748,0.213333333,0,0,0,0.132352941,0.514705882,0.461764706,0.382352941,1.250652514
7,10000,80,128,3,0.85,,0,0,0,0.116666667,0.444630542,0.595744797,0.066666667,0,0,0,0.104477612,0.552238806,0.504477612,0.447761194,1.223708672
7,10000,5,64,3,0.85,,0,0,0,0.133333333,0.504564826,0.520957193,0.057142857,0,0,0,0.134328358,0.567164179,0.48358209,0.432835821,1.215998209
3,10000,20,256,2,0.85,,0,0,0,0,0.385366429,0.534766983,0.28,0,0,0,0.073529412,0.470588235,0.447058824,0.397058824,1.200133412
7,10000,80,256,2,0.85,,0,0,0,0.174444444,0.430686355,0.577033125,0,0,0,0,0.119402985,0.537313433,0.489552239,0.417910448,1.182163925
3,10000,20,256,3,0.85,,0,0,0,0.057142857,0.304687163,0.539661338,0.28,0,0,0,0.176470588,0.529411765,0.438235294,0.352941176,1.181491359
7,10000,20,64,1,0.85,,0,0,0,0.1,0.386080151,0.587213812,0.08,0,0,0,0.104477612,0.52238806,0.495522388,0.417910448,1.153293963
3,10000,20,128,3,0.85,,0,0,0,0,0.427675086,0.559251337,0.16,0,0,0,0.176470588,0.558823529,0.467647059,0.382352941,1.146926423
7,10000,50,64,1,0.85,,0,0,0,0.1,0.369559234,0.554393682,0,0.1,0,0,0.149253731,0.537313433,0.465671642,0.388059701,1.123952916
7,10000,80,128,2,0.85,,0,0,0,0.107142857,0.422571197,0.585577019,0,0,0,0,0.134328358,0.552238806,0.489552239,0.417910448,1.115291073
7,10000,80,256,3,0.85,,0,0,0,0.094444444,0.376872955,0.585096236,0.057142857,0,0,0,0.074626866,0.52238806,0.48358209,0.447761194,1.113556492
7,10000,5,16,2,0.85,,0,0,0,0.1,0.430413111,0.568728,0,0,0,0,0.059701493,0.507462687,0.480597015,0.447761194,1.099141111
7,10000,80,64,3,0.85,,0,0,0,0.107142857,0.331276962,0.593734733,0.066666667,0,0,0,0.074626866,0.507462687,0.471641791,0.432835821,1.098821219
7,10000,20,128,1,0.85,,0,0,0,0.057142857,0.45335068,0.582112172,0,0,0,0,0.059701493,0.537313433,0.498507463,0.47761194,1.092605709
3,10000,20,128,2,0.85,,0,0,0,0,0.371571906,0.56718194,0.146666667,0,0,0,0.176470588,0.544117647,0.461764706,0.367647059,1.085420513
3,10000,5,256,1,0.85,,0,0,0,0.057142857,0.356418929,0.489407964,0.18,0,0,0,0.191176471,0.514705882,0.417647059,0.323529412,1.08296975
3,10000,80,256,3,0.85,,0,0,0,0.05,0.492627373,0.534463638,0,0,0,0,0.191176471,0.573529412,0.476470588,0.382352941,1.077091011
3,10000,50,256,3,0.85,,0,0,0,0,0.409720449,0.528949116,0.133333333,0,0,0,0.161764706,0.529411765,0.455882353,0.367647059,1.072002899
3,10000,50,256,1,0.85,,0,0,0,0,0.412141534,0.513107323,0.146666667,0,0,0,0.205882353,0.573529412,0.452941176,0.367647059,1.071915524
7,10000,50,128,1,0.85,,0,0,0,0.133333333,0.409815129,0.528526037,0,0,0,0,0.164179104,0.552238806,0.465671642,0.388059701,1.071674499
7,10000,50,256,2,0.85,,0,0,0,0.066666667,0.477331229,0.527526654,0,0,0,0,0.194029851,0.567164179,0.465671642,0.373134328,1.07152455
7,10000,20,64,3,0.85,,0,0,0,0,0.514045398,0.556111776,0,0,0,0,0.044776119,0.52238806,0.501492537,0.47761194,1.070157174
3,10000,80,256,2,0.85,,0,0,0,0,0.480438631,0.588676635,0,0,0,0,0.176470588,0.602941176,0.494117647,0.426470588,1.069115266
3,10000,20,256,1,0.85,,0,0,0,0,0.422435227,0.561104898,0.08,0,0,0,0.147058824,0.558823529,0.470588235,0.411764706,1.063540126
7,10000,50,256,3,0.85,,0,0,0,0.08,0.311980575,0.609246052,0.057142857,0,0,0,0.149253731,0.567164179,0.486567164,0.417910448,1.058369484
7,10000,80,128,1,0.85,,0,0,0,0.057142857,0.390892592,0.606681161,0,0,0,0,0.059701493,0.52238806,0.498507463,0.462686567,1.05471661
3,10000,20,32,2,0.85,,0,0,0,0.066666667,0.358413311,0.553536841,0.066666667,0,0,0,0.176470588,0.544117647,0.452941176,0.367647059,1.045283485
3,10000,50,256,2,0.85,,0,0,0,0,0.447813085,0.540306351,0.057142857,0,0,0,0.147058824,0.529411765,0.473529412,0.382352941,1.045262293
7,10000,80,64,1,0.85,,0,0,0,0.057142857,0.401286261,0.581949959,0,0,0,0,0.059701493,0.507462687,0.480597015,0.447761194,1.040379077
3,10000,5,256,2,0.85,,0,0,0,0,0.374437589,0.494457415,0.166666667,0,0,0,0.161764706,0.514705882,0.432352941,0.352941176,1.035561671
3,10000,5,64,1,0.85,,0,0,0,0,0.417142273,0.538317545,0.08,0,0,0,0.102941176,0.514705882,0.455882353,0.411764706,1.035459819
3,10000,50,128,3,0.85,,0,0,0,0,0.399672515,0.527228542,0.1,0,0,0,0.191176471,0.558823529,0.458823529,0.367647059,1.026901057
7,10000,5,32,1,0.85,,0,0,0,0,0.438685857,0.583819256,0,0,0,0,0.044776119,0.507462687,0.492537313,0.462686567,1.022505113
7,10000,20,128,2,0.85,,0,0,0,0.05,0.404721727,0.567581911,0,0,0,0,0.059701493,0.507462687,0.486567164,0.447761194,1.022303638
3,10000,20,128,1,0.85,,0,0,0,0,0.373366013,0.568884625,0.08,0,0,0,0.176470588,0.558823529,0.461764706,0.382352941,1.022250638
7,10000,20,128,3,0.85,,0,0,0,0.057142857,0.450616272,0.513211233,0,0,0,0,0.119402985,0.52238806,0.456716418,0.402985075,1.020970362
7,10000,5,64,2,0.85,,0,0,0,0,0.471834185,0.546195433,0,0,0,0,0.044776119,0.507462687,0.486567164,0.462686567,1.018029618
3,10000,20,64,2,0.85,,0,0,0,0,0.402036047,0.54802599,0.066666667,0,0,0,0.176470588,0.544117647,0.461764706,0.367647059,1.016728704
3,10000,5,128,2,0.85,,0,0,0,0,0.401520623,0.510480694,0.1,0,0,0,0.191176471,0.544117647,0.438235294,0.352941176,1.012001318
3,10000,5,64,3,0.85,,0,0,0,0,0.375644008,0.554462972,0.08,0,0,0,0.147058824,0.514705882,0.455882353,0.367647059,1.01010698
7,10000,80,256,1,0.85,,0,0,0,0,0.408252567,0.601463237,0,0,0,0,0.134328358,0.567164179,0.501492537,0.432835821,1.009715804
7,10000,5,64,1,0.85,,0,0,0,0,0.484394094,0.52408124,0,0,0,0,0.044776119,0.492537313,0.47761194,0.447761194,1.008475334
7,10000,5,16,1,0.85,,0,0,0,0.066666667,0.37179455,0.569278305,0,0,0,0,0.089552239,0.507462687,0.465671642,0.417910448,1.007739522
7,10000,20,32,2,0.85,,0,0,0,0.116666667,0.272196382,0.61770163,0,0,0,0,0.119402985,0.537313433,0.486567164,0.417910448,1.006564679
3,10000,80,256,1,0.85,,0,0,0,0,0.363818301,0.562700574,0.08,0,0,0,0.161764706,0.514705882,0.452941176,0.352941176,1.006518875
3,10000,5,64,2,0.85,,0,0,0,0,0.386457023,0.535518577,0.08,0,0,0,0.191176471,0.529411765,0.447058824,0.338235294,1.0019756
3,10000,20,64,3,0.85,,0,0,0,0,0.307668387,0.546010486,0.146666667,0,0,0,0.161764706,0.529411765,0.435294118,0.367647059,1.000345539
3,10000,20,32,1,0.85,,0,0,0,0,0.362690058,0.55629391,0.08,0,0,0,0.176470588,0.544117647,0.455882353,0.367647059,0.998983968
7,10000,50,32,3,0.85,,0,0,0,0.101587302,0.32019339,0.573548604,0,0,0,0,0.089552239,0.507462687,0.459701493,0.417910448,0.995329295
7,10000,50,128,2,0.85,,0,0,0,0.101587302,0.33122807,0.560403384,0,0,0,0,0.179104478,0.582089552,0.462686567,0.402985075,0.993218755
7,10000,20,256,1,0.85,,0,0,0,0.044444444,0.379746195,0.567730471,0,0,0,0,0.104477612,0.537313433,0.480597015,0.432835821,0.99192111
1,10000,20,256,1,0.85,,0,0,0.133333333,0,0.249255332,0.529217185,0.08,0,0,0,0.073529412,0.441176471,0.405882353,0.367647059,0.991805851
7,10000,80,64,2,0.85,,0,0,0,0,0.330858462,0.593972379,0.066666667,0,0,0,0.074626866,0.507462687,0.471641791,0.432835821,0.991497508
7,10000,50,32,2,0.85,,0,0,0,0.066666667,0.342517064,0.571196162,0,0,0,0,0.119402985,0.52238806,0.465671642,0.402985075,0.980379893
7,10000,80,32,2,0.85,,0,0,0,0.04,0.340939079,0.598805458,0,0,0,0,0.104477612,0.537313433,0.48358209,0.432835821,0.979744537
3,10000,50,128,2,0.85,,0,0,0,0,0.407357873,0.515059349,0.057142857,0,0,0,0.161764706,0.529411765,0.45,0.367647059,0.979560079
7,10000,50,64,3,0.85,,0,0,0,0.05,0.3411105,0.583892736,0,0,0,0,0.149253731,0.567164179,0.468656716,0.417910448,0.975003236
7,10000,5,128,3,0.85,,0,0,0,0.1,0.360369674,0.512850037,0,0,0,0,0.089552239,0.507462687,0.459701493,0.417910448,0.973219711
3,10000,50,32,1,0.85,,0,0,0,0.066666667,0.370227363,0.469545959,0.066666667,0,0,0,0.161764706,0.529411765,0.426470588,0.367647059,0.973106655
3,10000,20,32,3,0.85,,0,0,0,0.066666667,0.295670996,0.542528094,0.066666667,0,0,0,0.132352941,0.514705882,0.435294118,0.382352941,0.971532423
1,10000,20,128,1,0.85,,0,0,0.133333333,0,0.226596737,0.528340642,0.08,0,0,0,0.088235294,0.441176471,0.4,0.352941176,0.968270712
7,10000,20,256,2,0.85,,0,0,0,0,0.469400877,0.495905858,0,0,0,0,0.104477612,0.507462687,0.450746269,0.402985075,0.965306735
