lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
14,80,32,3,0.85,0.554545455,0.439393939,0.742424242,0.303030303
3,50,128,3,0.85,0.544117647,0.470588235,0.705882353,0.235294118
3,50,32,2,0.85,0.523529412,0.470588235,0.705882353,0.235294118
3,50,128,1,0.85,0.547058824,0.455882353,0.691176471,0.235294118
3,50,64,3,0.85,0.538235294,0.455882353,0.691176471,0.235294118
3,50,64,2,0.85,0.529411765,0.441176471,0.691176471,0.25
14,80,64,3,0.85,0.518181818,0.424242424,0.681818182,0.257575758
3,20,32,1,0.85,0.541176471,0.441176471,0.676470588,0.235294118
3,50,256,1,0.85,0.529411765,0.441176471,0.676470588,0.235294118
3,50,64,1,0.85,0.526470588,0.455882353,0.676470588,0.220588235
3,50,256,2,0.85,0.523529412,0.455882353,0.676470588,0.220588235
3,50,16,3,0.85,0.520588235,0.455882353,0.676470588,0.220588235
3,50,32,3,0.85,0.514705882,0.441176471,0.676470588,0.235294118
3,50,32,1,0.85,0.511764706,0.426470588,0.676470588,0.25
14,80,64,2,0.85,0.563636364,0.439393939,0.666666667,0.227272727
14,50,64,1,0.85,0.548484848,0.439393939,0.666666667,0.227272727
14,80,128,1,0.85,0.533333333,0.46969697,0.666666667,0.196969697
14,50,256,2,0.85,0.53030303,0.439393939,0.666666667,0.227272727
3,20,64,3,0.85,0.529411765,0.470588235,0.661764706,0.191176471
3,50,128,2,0.85,0.523529412,0.455882353,0.661764706,0.205882353
3,20,16,2,0.85,0.520588235,0.455882353,0.661764706,0.205882353
7,80,16,3,0.85,0.537313433,0.447761194,0.656716418,0.208955224
14,50,32,1,0.85,0.515151515,0.409090909,0.651515152,0.242424242
3,50,256,3,0.85,0.552941176,0.485294118,0.647058824,0.161764706
3,20,64,1,0.85,0.547058824,0.5,0.647058824,0.147058824
3,20,32,2,0.85,0.544117647,0.514705882,0.647058824,0.132352941
3,20,32,3,0.85,0.535294118,0.5,0.647058824,0.147058824
7,50,64,2,0.85,0.546268657,0.388059701,0.641791045,0.253731343
7,50,256,2,0.85,0.546268657,0.447761194,0.641791045,0.194029851
7,20,64,2,0.85,0.543283582,0.462686567,0.641791045,0.179104478
7,50,256,3,0.85,0.537313433,0.462686567,0.641791045,0.179104478
7,80,32,2,0.85,0.501492537,0.373134328,0.641791045,0.268656716
7,5,64,1,0.85,0.495522388,0.417910448,0.641791045,0.223880597
7,80,16,2,0.85,0.489552239,0.388059701,0.641791045,0.253731343
