lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,50,128,3,0.85,,0,0,0,0.19047619,0.534753225,0.506305469,0,0,0,0,0.121212121,0.545454545,0.484848485,0.424242424,1.231534885
14,80,64,3,0.85,,0,0,0,0.183333333,0.551174108,0.461131625,0,0,0,0,0.121212121,0.560606061,0.478787879,0.439393939,1.195639066
14,50,64,3,0.85,,0,0,0,0.133333333,0.570475287,0.475900044,0,0,0,0,0.151515152,0.575757576,0.496969697,0.424242424,1.179708664
14,80,128,3,0.85,,0,0,0,0.133333333,0.560015847,0.470546562,0,0,0,0,0.136363636,0.560606061,0.481818182,0.424242424,1.163895742
14,50,32,3,0.85,,0,0,0,0.133333333,0.52913087,0.490099567,0,0,0,0,0.106060606,0.53030303,0.484848485,0.424242424,1.15256377
14,20,128,3,0.85,,0,0,0,0.2,0.468675935,0.483856078,0,0,0,0,0.136363636,0.53030303,0.448484848,0.393939394,1.152532013
14,80,256,3,0.85,,0,0,0,0.157142857,0.486591123,0.499587065,0,0,0,0,0.136363636,0.53030303,0.460606061,0.393939394,1.143321046
14,80,128,1,0.85,,0,0,0,0.213333333,0.365283688,0.559000747,0,0,0,0,0.121212121,0.53030303,0.457575758,0.409090909,1.137617768
14,5,256,3,0.85,,0,0,0,0,0.446983652,0.460428152,0.216666667,0,0,0,0.242424242,0.545454545,0.427272727,0.303030303,1.124078471
14,80,256,2,0.85,,0,0,0,0.133333333,0.425446875,0.56196999,0,0,0,0,0.090909091,0.53030303,0.472727273,0.439393939,1.120750199
14,5,64,3,0.85,,0,0,0,0.08,0.469825165,0.489073861,0.08,0,0,0,0.181818182,0.53030303,0.463636364,0.348484848,1.118899027
14,20,32,3,0.85,,0,0,0,0.133333333,0.466806295,0.506205542,0,0,0,0,0.106060606,0.53030303,0.463636364,0.424242424,1.10634517
14,80,32,3,0.85,,0,0,0,0.133333333,0.469653021,0.487596829,0,0,0,0,0.090909091,0.515151515,0.457575758,0.424242424,1.090583184
14,20,64,3,0.85,,0,0,0,0.05,0.522826221,0.50285591,0,0,0,0,0.151515152,0.575757576,0.481818182,0.424242424,1.075682132
14,5,128,3,0.85,,0,0,0,0,0.464782532,0.492741461,0.116363636,0,0,0,0.090909091,0.484848485,0.442424242,0.393939394,1.07388763
14,80,256,1,0.85,,0,0,0,0.133333333,0.388376954,0.546507351,0,0,0,0,0.196969697,0.590909091,0.454545455,0.393939394,1.068217638
14,5,64,1,0.85,,0,0,0,0.08,0.412488221,0.563115494,0,0,0,0,0.090909091,0.53030303,0.475757576,0.439393939,1.055603715
14,5,32,3,0.85,,0,0,0,0,0.520857649,0.531478849,0,0,0,0,0.151515152,0.575757576,0.490909091,0.424242424,1.052336498
14,20,64,2,0.85,,0,0,0,0.133333333,0.329453879,0.583938539,0,0,0,0,0.060606061,0.484848485,0.463636364,0.424242424,1.046725752
