lag,batch_size,neurons,layers,split,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
3,5,256,2,0.85,0,0,0,0,0.473677812,0.490474434,0.066666667,0.2,0,0,0.102941176,0.5,0.452941176,0.397058824,1.230818913
3,20,256,3,0.85,0,0,0,0.057142857,0.361001991,0.549400862,0.057142857,0.133333333,0,0,0.088235294,0.5,0.45,0.411764706,1.1580219
7,20,128,2,0.85,0,0,0,0.16,0.375145505,0.540683963,0,0.08,0,0,0.058823529,0.470588235,0.444117647,0.411764706,1.155829469
7,5,32,3,0.85,0,0,0,0.16,0.455066454,0.526432725,0,0,0,0,0.102941176,0.514705882,0.458823529,0.411764706,1.141499179
7,50,256,2,0.85,0,0,0,0.08,0.460307686,0.519364958,0,0.066666667,0,0,0.132352941,0.529411765,0.455882353,0.397058824,1.12633931
7,5,128,1,0.85,0,0,0,0.18,0.465950134,0.475586794,0,0,0,0,0.147058824,0.529411765,0.444117647,0.382352941,1.121536928
7,50,256,3,0.85,0,0,0,0,0.466345271,0.501215119,0,0.133333333,0,0,0.088235294,0.5,0.45,0.411764706,1.100893722
3,80,256,3,0.85,0,0,0,0,0.334491269,0.559920596,0,0.2,0,0,0.132352941,0.485294118,0.435294118,0.352941176,1.094411865
7,80,128,2,0.85,0,0,0,0.166666667,0.408625587,0.51872879,0,0,0,0,0.044117647,0.455882353,0.438235294,0.411764706,1.094021044
7,20,32,3,0.85,0,0,0,0.1,0.458039001,0.533070016,0,0,0,0,0.088235294,0.514705882,0.470588235,0.426470588,1.091109017
7,50,128,3,0.85,0,0,0,0,0.501139547,0.517479986,0,0.057142857,0,0,0.132352941,0.529411765,0.473529412,0.397058824,1.07576239
7,50,32,3,0.85,0,0,0,0.1,0.427724695,0.48463775,0,0.057142857,0,0,0.117647059,0.5,0.435294118,0.382352941,1.069505302
7,20,32,2,0.85,0,0,0,0,0.445044515,0.555191816,0,0.066666667,0,0,0.102941176,0.514705882,0.473529412,0.411764706,1.066902997
7,80,128,3,0.85,0,0,0,0.08,0.470523046,0.512947211,0,0,0,0,0.029411765,0.470588235,0.455882353,0.441176471,1.063470258
14,50,128,3,0.85,0,0,0,0.123809524,0.43405329,0.50212413,0,0,0,0,0.119402985,0.507462687,0.43880597,0.388059701,1.059986944
14,20,256,2,0.85,0,0,0,0.146666667,0.390600695,0.519663677,0,0,0,0,0.208955224,0.537313433,0.43880597,0.328358209,1.056931039
7,20,256,3,0.85,0,0,0,0.057142857,0.440868364,0.476004377,0,0.08,0,0,0.147058824,0.514705882,0.432352941,0.367647059,1.054015597
14,50,256,1,0.85,0,0,0,0.123809524,0.374523514,0.523917256,0,0,0,0,0.268656716,0.537313433,0.432835821,0.268656716,1.022250293
7,5,128,2,0.85,0,0,0,0.05,0.513995559,0.455922108,0,0,0,0,0.147058824,0.5,0.452941176,0.352941176,1.019917667
