lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1.0,10000.0,5.0,16.0,1.0,0.85,0.5217391304347826,0.42028985507246375,0.5797101449275363,0.1594202898550725
1.0,10000.0,20.0,16.0,1.0,0.85,0.4724637681159421,0.42028985507246375,0.5362318840579711,0.11594202898550732
1.0,10000.0,50.0,16.0,1.0,0.85,0.4811594202898551,0.4057971014492754,0.5362318840579711,0.13043478260869568
1.0,10000.0,80.0,16.0,1.0,0.85,0.4811594202898551,0.4057971014492754,0.5652173913043478,0.1594202898550724
1.0,10000.0,5.0,16.0,2.0,0.85,0.5043478260869565,0.42028985507246375,0.5652173913043478,0.14492753623188404
1.0,10000.0,20.0,16.0,2.0,0.85,0.5014492753623189,0.42028985507246375,0.5507246376811594,0.13043478260869568
1.0,10000.0,50.0,16.0,2.0,0.85,0.48405797101449277,0.391304347826087,0.5362318840579711,0.1449275362318841
1.0,10000.0,80.0,16.0,2.0,0.85,0.48405797101449277,0.391304347826087,0.5652173913043478,0.1739130434782608
1.0,10000.0,5.0,16.0,3.0,0.85,0.49855072463768113,0.43478260869565216,0.5507246376811594,0.11594202898550726
1.0,10000.0,20.0,16.0,3.0,0.85,0.5014492753623189,0.4057971014492754,0.5652173913043478,0.1594202898550724
1.0,10000.0,50.0,16.0,3.0,0.85,0.47536231884057967,0.37681159420289856,0.5362318840579711,0.1594202898550725
1.0,10000.0,80.0,16.0,3.0,0.85,0.4782608695652174,0.34782608695652173,0.5507246376811594,0.2028985507246377
1.0,10000.0,5.0,32.0,1.0,0.85,0.5246376811594203,0.42028985507246375,0.5942028985507246,0.17391304347826086
1.0,10000.0,20.0,32.0,1.0,0.85,0.49275362318840565,0.36231884057971014,0.5507246376811594,0.18840579710144928
1.0,10000.0,50.0,32.0,1.0,0.85,0.48405797101449277,0.391304347826087,0.5507246376811594,0.15942028985507245
1.0,10000.0,80.0,32.0,1.0,0.85,0.4898550724637681,0.36231884057971014,0.5652173913043478,0.20289855072463764
1.0,10000.0,5.0,32.0,2.0,0.85,0.5159420289855072,0.42028985507246375,0.5797101449275363,0.1594202898550725
1.0,10000.0,20.0,32.0,2.0,0.85,0.518840579710145,0.42028985507246375,0.5652173913043478,0.14492753623188404
1.0,10000.0,50.0,32.0,2.0,0.85,0.4927536231884059,0.42028985507246375,0.5507246376811594,0.13043478260869568
1.0,10000.0,80.0,32.0,2.0,0.85,0.5043478260869565,0.43478260869565216,0.5652173913043478,0.13043478260869562
1.0,10000.0,5.0,32.0,3.0,0.85,0.49855072463768124,0.43478260869565216,0.5652173913043478,0.13043478260869562
1.0,10000.0,20.0,32.0,3.0,0.85,0.518840579710145,0.4057971014492754,0.5652173913043478,0.1594202898550724
1.0,10000.0,50.0,32.0,3.0,0.85,0.463768115942029,0.37681159420289856,0.5217391304347826,0.14492753623188404
1.0,10000.0,80.0,32.0,3.0,0.85,0.5014492753623189,0.36231884057971014,0.5797101449275363,0.2173913043478261
1.0,10000.0,5.0,64.0,1.0,0.85,0.5072463768115942,0.391304347826087,0.5942028985507246,0.20289855072463764
1.0,10000.0,20.0,64.0,1.0,0.85,0.4985507246376811,0.36231884057971014,0.5507246376811594,0.18840579710144928
1.0,10000.0,50.0,64.0,1.0,0.85,0.47536231884057967,0.391304347826087,0.5362318840579711,0.1449275362318841
1.0,10000.0,80.0,64.0,1.0,0.85,0.5072463768115941,0.34782608695652173,0.5797101449275363,0.23188405797101452
1.0,10000.0,5.0,64.0,2.0,0.85,0.5130434782608696,0.4057971014492754,0.5797101449275363,0.17391304347826086
1.0,10000.0,20.0,64.0,2.0,0.85,0.5130434782608696,0.42028985507246375,0.5507246376811594,0.13043478260869568
1.0,10000.0,50.0,64.0,2.0,0.85,0.48985507246376814,0.391304347826087,0.5652173913043478,0.1739130434782608
1.0,10000.0,80.0,64.0,2.0,0.85,0.5101449275362319,0.4057971014492754,0.5652173913043478,0.1594202898550724
1.0,10000.0,5.0,64.0,3.0,0.85,0.49855072463768124,0.42028985507246375,0.5362318840579711,0.11594202898550732
1.0,10000.0,20.0,64.0,3.0,0.85,0.5246376811594203,0.43478260869565216,0.5797101449275363,0.1449275362318841
