lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,50,128,2,0.85,,0,0,0,0.1,0.363055511,0.515768527,0,0.1,0,0,0.102941176,0.5,0.432352941,0.397058824,1.078824038
7,50,256,2,0.85,,0,0,0,0.05,0.387365623,0.521876879,0,0.08,0,0,0.044117647,0.470588235,0.441176471,0.426470588,1.039242502
7,50,256,1,0.85,,0,0,0,0.066666667,0.352804673,0.512159602,0,0.08,0,0,0.117647059,0.470588235,0.423529412,0.352941176,1.011630941
7,50,256,3,0.85,,0,0,0,0,0.410095611,0.495685046,0,0.1,0,0,0.073529412,0.470588235,0.429411765,0.397058824,1.005780657
7,80,256,3,0.85,,0,0,0,0.15,0.264800637,0.533142571,0,0,0,0,0.088235294,0.455882353,0.414705882,0.367647059,0.947943208
7,50,128,1,0.85,,0,0,0,0,0.361768762,0.485366187,0,0.1,0,0,0.058823529,0.441176471,0.408823529,0.382352941,0.947134949
7,5,64,3,0.85,,0,0,0,0.111111111,0.333365339,0.493792526,0,0,0,0,0.058823529,0.426470588,0.397058824,0.367647059,0.938268976
7,80,256,1,0.85,,0,0,0,0,0.36296728,0.563262165,0,0,0,0,0.088235294,0.485294118,0.452941176,0.397058824,0.926229444
14,80,256,2,0.85,,0,0,0,0,0.416190476,0.494577751,0,0,0,0,0.28358209,0.537313433,0.426865672,0.253731343,0.910768228
7,5,128,3,0.85,,0,0,0,0.1,0.350183062,0.459906065,0,0,0,0,0.102941176,0.455882353,0.391176471,0.352941176,0.910089127
3,20,256,3,0.85,,0,0,0,0.21,0.128980823,0.561317234,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.900298057
3,5,128,1,0.85,,0,0,0,0.05,0.328308803,0.521678413,0,0,0,0,0.088235294,0.470588235,0.423529412,0.382352941,0.899987215
1,5,32,1,0.85,,0,0,0,0.044444444,0.237950845,0.615099458,0,0,0,0,0.115942029,0.536231884,0.475362319,0.420289855,0.897494747
7,80,256,2,0.85,,0,0,0,0.1,0.263052689,0.527913791,0,0,0,0,0.117647059,0.470588235,0.411764706,0.352941176,0.89096648
1,5,128,1,0.85,,0,0,0,0.036363636,0.237151346,0.613524304,0,0,0,0,0.130434783,0.550724638,0.469565217,0.420289855,0.887039286
1,5,256,1,0.85,,0,0,0,0.036363636,0.248634734,0.599819789,0,0,0,0,0.101449275,0.52173913,0.460869565,0.420289855,0.884818159
7,5,128,2,0.85,,0,0,0,0.05,0.360319571,0.474320917,0,0,0,0,0.132352941,0.455882353,0.397058824,0.323529412,0.884640488
14,20,64,2,0.85,,0,0,0,0,0.369315056,0.514735278,0,0,0,0,0.253731343,0.52238806,0.426865672,0.268656716,0.884050334
7,50,32,3,0.85,,0,0,0,0.1,0.236646665,0.545846222,0,0,0,0,0.073529412,0.455882353,0.423529412,0.382352941,0.882492886
1,20,256,1,0.85,,0,0,0,0.036363636,0.226514405,0.618911986,0,0,0,0,0.15942029,0.565217391,0.47826087,0.405797101,0.881790027
7,20,128,3,0.85,,0,0,0,0.066666667,0.289278341,0.524692531,0,0,0,0,0.147058824,0.5,0.429411765,0.352941176,0.880637538
14,50,256,1,0.85,,0,0,0,0.066666667,0.307580359,0.504162532,0,0,0,0,0.194029851,0.492537313,0.411940299,0.298507463,0.878409558
1,20,128,1,0.85,,0,0,0,0.044444444,0.20748358,0.626139309,0,0,0,0,0.130434783,0.550724638,0.47826087,0.420289855,0.878067333
1,80,128,1,0.85,,0,0,0,0.036363636,0.221557597,0.620135732,0,0,0,0,0.144927536,0.550724638,0.475362319,0.405797101,0.878056965
14,80,128,2,0.85,,0,0,0,0.066666667,0.287889227,0.521694841,0,0,0,0,0.179104478,0.47761194,0.408955224,0.298507463,0.876250734
7,5,64,2,0.85,,0,0,0,0,0.373191981,0.50103412,0,0,0,0,0.073529412,0.455882353,0.414705882,0.382352941,0.874226101
14,50,128,1,0.85,,0,0,0,0.066666667,0.293899471,0.512021169,0,0,0,0,0.179104478,0.47761194,0.405970149,0.298507463,0.872587306
7,50,64,1,0.85,,0,0,0,0,0.359300239,0.512711735,0,0,0,0,0.102941176,0.485294118,0.435294118,0.382352941,0.872011974
7,50,32,1,0.85,,0,0,0,0,0.371208279,0.49920998,0,0,0,0,0.102941176,0.485294118,0.417647059,0.382352941,0.870418259
3,50,256,3,0.85,,0,0,0,0.166666667,0.206805764,0.494480646,0,0,0,0,0.088235294,0.441176471,0.385294118,0.352941176,0.867953077
7,50,64,2,0.85,,0,0,0,0,0.353188745,0.510933828,0,0,0,0,0.117647059,0.485294118,0.420588235,0.367647059,0.864122573
7,20,256,1,0.85,,0,0,0,0,0.357221717,0.506725271,0,0,0,0,0.058823529,0.455882353,0.417647059,0.397058824,0.863946988
7,20,128,1,0.85,,0,0,0,0,0.350919408,0.512417218,0,0,0,0,0.073529412,0.455882353,0.414705882,0.382352941,0.863336626
7,80,128,2,0.85,,0,0,0,0,0.335312223,0.527447014,0,0,0,0,0.073529412,0.470588235,0.426470588,0.397058824,0.862759236
7,20,64,1,0.85,,0,0,0,0,0.327931193,0.534652074,0,0,0,0,0.102941176,0.485294118,0.426470588,0.382352941,0.862583267
7,5,256,3,0.85,,0,0,0,0.05,0.390281956,0.417840447,0,0,0,0,0.132352941,0.485294118,0.405882353,0.352941176,0.858122403
14,20,128,2,0.85,,0,0,0,0,0.375400517,0.479412307,0,0,0,0,0.179104478,0.492537313,0.426865672,0.313432836,0.854812824
3,5,256,1,0.85,,0,0,0,0,0.362105263,0.492219125,0,0,0,0,0.102941176,0.5,0.423529412,0.397058824,0.854324388
7,5,128,1,0.85,,0,0,0,0,0.316458253,0.537216147,0,0,0,0,0.132352941,0.485294118,0.423529412,0.352941176,0.8536744
1,5,256,2,0.85,,0,0,0,0.044444444,0.205297089,0.603815325,0,0,0,0,0.101449275,0.52173913,0.466666667,0.420289855,0.853556858
7,50,128,3,0.85,,0,0,0,0,0.338832185,0.512968995,0,0,0,0,0.117647059,0.485294118,0.414705882,0.367647059,0.85180118
7,5,32,3,0.85,,0,0,0,0.1,0.170895771,0.580833937,0,0,0,0,0.132352941,0.5,0.441176471,0.367647059,0.851729708
3,50,256,2,0.85,,0,0,0,0.1,0.235302408,0.514993504,0,0,0,0,0.088235294,0.426470588,0.394117647,0.338235294,0.850295913
7,50,64,3,0.85,,0,0,0,0,0.349562228,0.499984433,0,0,0,0,0.088235294,0.455882353,0.411764706,0.367647059,0.849546661
1,20,64,1,0.85,,0,0,0,0.044444444,0.174436833,0.628254795,0,0,0,0,0.144927536,0.565217391,0.475362319,0.420289855,0.847136073
14,20,256,2,0.85,,0,0,0,0,0.37453141,0.47133719,0,0,0,0,0.194029851,0.492537313,0.402985075,0.298507463,0.8458686
1,80,256,1,0.85,,0,0,0,0.036363636,0.191384615,0.618115482,0,0,0,0,0.144927536,0.550724638,0.475362319,0.405797101,0.845863733
7,80,128,3,0.85,,0,0,0,0.1,0.199003213,0.545928651,0,0,0,0,0.073529412,0.455882353,0.432352941,0.382352941,0.844931865
1,80,32,1,0.85,,0,0,0,0.044444444,0.197236327,0.603182978,0,0,0,0,0.15942029,0.550724638,0.460869565,0.391304348,0.844863749
14,20,64,1,0.85,,0,0,0,0,0.299074746,0.544113215,0,0,0,0,0.223880597,0.507462687,0.429850746,0.28358209,0.843187961
